pdb,stacking,base_triple_type
ens-1,stacked,non-triple
ens-2,stacked,non-triple
ens-3,stacked,non-triple
ens-4,stacked,non-triple
ens-5,stacked,non-triple
ens-6,stacked,non-triple
ens-7,stacked,non-triple
ens-8,stacked,non-triple
ens-9,stacked,non-triple
ens-10,stacked,non-triple
ens-11,stacked,non-triple
ens-12,stacked,non-triple
ens-13,stacked,non-triple
ens-14,stacked,non-triple
ens-15,stacked,non-triple
ens-16,stacked,non-triple
ens-17,stacked,non-triple
ens-18,stacked,non-triple
ens-19,stacked,non-triple
ens-20,stacked,non-triple
ens-21,stacked,non-triple
ens-22,stacked,non-triple
ens-23,stacked,non-triple
ens-24,stacked,non-triple
ens-25,stacked,non-triple
ens-26,stacked,non-triple
ens-27,stacked,non-triple
ens-28,stacked,non-triple
ens-29,stacked,non-triple
ens-30,stacked,non-triple
ens-31,stacked,non-triple
ens-32,stacked,non-triple
ens-33,stacked,non-triple
ens-34,stacked,non-triple
ens-35,stacked,non-triple
ens-36,stacked,non-triple
ens-37,stacked,non-triple
ens-38,stacked,non-triple
ens-39,stacked,non-triple
ens-40,stacked,non-triple
ens-41,stacked,non-triple
ens-42,stacked,non-triple
ens-43,stacked,non-triple
ens-44,stacked,non-triple
ens-45,stacked,non-triple
ens-46,stacked,non-triple
ens-47,stacked,non-triple
ens-48,stacked,non-triple
ens-49,stacked,non-triple
ens-50,stacked,non-triple
ens-51,stacked,non-triple
ens-52,stacked,non-triple
ens-53,stacked,non-triple
ens-54,stacked,non-triple
ens-55,stacked,non-triple
ens-56,stacked,non-triple
ens-57,stacked,non-triple
ens-58,stacked,non-triple
ens-59,stacked,non-triple
ens-60,stacked,non-triple
ens-61,stacked,non-triple
ens-62,stacked,non-triple
ens-63,stacked,non-triple
ens-64,stacked,non-triple
ens-65,stacked,non-triple
ens-66,stacked,non-triple
ens-67,stacked,non-triple
ens-68,stacked,non-triple
ens-69,stacked,non-triple
ens-70,stacked,non-triple
ens-71,stacked,non-triple
ens-72,stacked,non-triple
ens-73,stacked,non-triple
ens-74,stacked,non-triple
ens-75,stacked,non-triple
ens-76,stacked,non-triple
ens-77,stacked,non-triple
ens-78,stacked,non-triple
ens-79,stacked,non-triple
ens-80,stacked,non-triple
ens-81,stacked,non-triple
ens-82,stacked,non-triple
ens-83,stacked,non-triple
ens-84,stacked,non-triple
ens-85,stacked,non-triple
ens-86,stacked,non-triple
ens-87,stacked,non-triple
ens-88,stacked,non-triple
ens-89,stacked,non-triple
ens-90,stacked,non-triple
ens-91,stacked,non-triple
ens-92,stacked,non-triple
ens-93,stacked,non-triple
ens-94,stacked,non-triple
ens-95,stacked,non-triple
ens-96,stacked,non-triple
ens-97,stacked,non-triple
ens-98,stacked,non-triple
ens-99,stacked,non-triple
ens-100,stacked,non-triple
ens-101,stacked,non-triple
ens-102,stacked,non-triple
ens-103,stacked,non-triple
ens-104,stacked,non-triple
ens-105,stacked,non-triple
ens-106,stacked,non-triple
ens-107,stacked,non-triple
ens-108,stacked,non-triple
ens-109,stacked,non-triple
ens-110,stacked,non-triple
ens-111,stacked,non-triple
ens-112,stacked,non-triple
ens-113,stacked,non-triple
ens-114,stacked,non-triple
ens-115,stacked,non-triple
ens-116,stacked,non-triple
ens-117,stacked,non-triple
ens-118,stacked,non-triple
ens-119,stacked,non-triple
ens-120,stacked,non-triple
ens-121,stacked,non-triple
ens-122,stacked,non-triple
ens-123,stacked,non-triple
ens-124,stacked,non-triple
ens-125,stacked,non-triple
ens-126,stacked,non-triple
ens-127,stacked,non-triple
ens-128,stacked,non-triple
ens-129,stacked,non-triple
ens-130,stacked,non-triple
ens-131,stacked,non-triple
ens-132,stacked,non-triple
ens-133,stacked,non-triple
ens-134,stacked,non-triple
ens-135,stacked,non-triple
ens-136,stacked,non-triple
ens-137,stacked,non-triple
ens-138,stacked,non-triple
ens-139,stacked,non-triple
ens-140,stacked,non-triple
ens-141,stacked,non-triple
ens-142,stacked,non-triple
ens-143,stacked,non-triple
ens-144,stacked,non-triple
ens-145,stacked,non-triple
ens-146,stacked,non-triple
ens-147,stacked,non-triple
ens-148,stacked,non-triple
ens-149,stacked,non-triple
ens-150,stacked,non-triple
ens-151,stacked,non-triple
ens-152,stacked,non-triple
ens-153,stacked,non-triple
ens-154,stacked,non-triple
ens-155,stacked,non-triple
ens-156,stacked,non-triple
ens-157,stacked,non-triple
ens-158,stacked,non-triple
ens-159,stacked,non-triple
ens-160,stacked,non-triple
ens-161,stacked,non-triple
ens-162,stacked,non-triple
ens-163,stacked,non-triple
ens-164,stacked,non-triple
ens-165,stacked,non-triple
ens-166,stacked,non-triple
ens-167,stacked,non-triple
ens-168,stacked,non-triple
ens-169,stacked,non-triple
ens-170,stacked,non-triple
ens-171,stacked,non-triple
ens-172,stacked,non-triple
ens-173,stacked,non-triple
ens-174,stacked,non-triple
ens-175,stacked,non-triple
ens-176,stacked,non-triple
ens-177,stacked,non-triple
ens-178,stacked,non-triple
ens-179,stacked,non-triple
ens-180,stacked,non-triple
ens-181,stacked,non-triple
ens-182,stacked,non-triple
ens-183,stacked,non-triple
ens-184,stacked,non-triple
ens-185,stacked,non-triple
ens-186,stacked,non-triple
ens-187,stacked,non-triple
ens-188,stacked,non-triple
ens-189,stacked,non-triple
ens-190,stacked,non-triple
ens-191,stacked,non-triple
ens-192,stacked,non-triple
ens-193,stacked,non-triple
ens-194,stacked,non-triple
ens-195,stacked,non-triple
ens-196,stacked,non-triple
ens-197,stacked,non-triple
ens-198,stacked,non-triple
ens-199,stacked,non-triple
ens-200,stacked,non-triple
ens-201,stacked,non-triple
ens-202,stacked,non-triple
ens-203,stacked,non-triple
ens-204,stacked,non-triple
ens-205,stacked,non-triple
ens-206,stacked,non-triple
ens-207,stacked,non-triple
ens-208,stacked,non-triple
ens-209,stacked,non-triple
ens-210,stacked,non-triple
ens-211,stacked,non-triple
ens-212,stacked,non-triple
ens-213,stacked,non-triple
