pdb,stacking,base_triple_type
ens-1,unstacked,non-triple
ens-2,stacked,non-triple
ens-3,unstacked,non-triple
ens-4,unstacked,non-triple
ens-5,unstacked,non-triple
ens-6,unstacked,non-triple
ens-7,unstacked,non-triple
ens-8,unstacked,non-triple
ens-9,stacked,non-triple
ens-10,stacked,non-triple
ens-11,unstacked,non-triple
ens-12,stacked,non-triple
ens-13,unstacked,non-triple
ens-14,stacked,non-triple
ens-15,unstacked,non-triple
ens-16,unstacked,non-triple
ens-17,stacked,non-triple
ens-18,stacked,non-triple
ens-19,unstacked,non-triple
ens-20,stacked,non-triple
ens-21,unstacked,non-triple
ens-22,stacked,non-triple
ens-23,unstacked,non-triple
ens-24,unstacked,non-triple
ens-25,stacked,non-triple
ens-26,stacked,non-triple
ens-27,unstacked,non-triple
ens-28,stacked,non-triple
ens-29,unstacked,non-triple
ens-30,stacked,non-triple
ens-31,unstacked,non-triple
ens-32,stacked,non-triple
ens-33,unstacked,non-triple
ens-34,unstacked,non-triple
ens-35,unstacked,non-triple
ens-36,unstacked,non-triple
ens-37,unstacked,non-triple
ens-38,stacked,non-triple
ens-39,stacked,non-triple
ens-40,unstacked,non-triple
ens-41,stacked,non-triple
ens-42,unstacked,non-triple
ens-43,unstacked,non-triple
ens-44,unstacked,non-triple
ens-45,unstacked,non-triple
ens-46,unstacked,non-triple
ens-47,unstacked,non-triple
ens-48,unstacked,non-triple
ens-49,stacked,non-triple
ens-50,stacked,non-triple
ens-51,unstacked,non-triple
ens-52,unstacked,non-triple
ens-53,unstacked,non-triple
ens-54,stacked,non-triple
ens-55,unstacked,non-triple
ens-56,stacked,non-triple
ens-57,stacked,non-triple
ens-58,stacked,non-triple
ens-59,unstacked,non-triple
ens-60,stacked,non-triple
ens-61,unstacked,non-triple
ens-62,unstacked,non-triple
ens-63,stacked,non-triple
ens-64,unstacked,non-triple
ens-65,unstacked,non-triple
ens-66,stacked,non-triple
ens-67,unstacked,non-triple
ens-68,unstacked,non-triple
ens-69,unstacked,non-triple
ens-70,stacked,non-triple
ens-71,unstacked,non-triple
ens-72,unstacked,non-triple
ens-73,stacked,non-triple
ens-74,stacked,non-triple
ens-75,unstacked,non-triple
ens-76,unstacked,non-triple
ens-77,stacked,non-triple
ens-78,stacked,non-triple
ens-79,unstacked,non-triple
ens-80,stacked,triple
ens-81,stacked,non-triple
ens-82,unstacked,non-triple
ens-83,stacked,non-triple
ens-84,unstacked,non-triple
ens-85,stacked,non-triple
ens-86,stacked,non-triple
ens-87,unstacked,non-triple
ens-88,unstacked,non-triple
ens-89,stacked,non-triple
ens-90,unstacked,non-triple
ens-91,stacked,non-triple
ens-92,stacked,non-triple
ens-93,stacked,non-triple
ens-94,unstacked,non-triple
ens-95,unstacked,non-triple
ens-96,unstacked,non-triple
ens-97,unstacked,non-triple
ens-98,unstacked,non-triple
ens-99,stacked,non-triple
